seccion,metrica,MU,AMD
PERFIL,Nombre,"Micron Technology, Inc.","Advanced Micro Devices, Inc."
PERFIL,Sector,Technology,Technology
PERFIL,Industria,Semiconductors,Semiconductors
PERFIL,Precio actual (USD),928.6113891601562,476.2799987792969
PERFIL,Market Cap (B USD),1028.2,777.4
CUANTITATIVO 3Y,Retorno anualizado,1.1072261022838323,0.6829101468693486
CUANTITATIVO 3Y,Volatilidad anualizada,0.6395573929986832,0.5816324551869572
CUANTITATIVO 3Y,Sharpe ratio,1.731,1.174
CUANTITATIVO 3Y,VaR diario 95%,-0.0561,-0.0531
CUANTITATIVO 3Y,Max drawdown,-0.5763,-0.63
CUANTITATIVO 3Y,Skewness,0.306,0.843
CUANTITATIVO 3Y,Kurtosis (exceso),3.176,6.027
CUANTITATIVO 3Y,p-value Jarque-Bera,0.0,0.0
CUANTITATIVO 3Y,Distribución normal (5%),False,False
CUANTITATIVO 3Y,Beta vs Mercado (SPY),2.34,2.289
CUANTITATIVO 3Y,Alpha anual vs Mercado (SPY),0.6168,0.2033
CUANTITATIVO 3Y,R² vs Mercado (SPY),0.315,0.364
CUANTITATIVO 3Y,Beta vs Sector Tech (XLK),1.806,1.66
CUANTITATIVO 3Y,Alpha anual vs Sector Tech (XLK),0.5747,0.1933
CUANTITATIVO 3Y,R² vs Sector Tech (XLK),0.5,0.511
CUANTITATIVO 3Y,Beta vs Semis (SMH),1.348,1.192
CUANTITATIVO 3Y,Alpha anual vs Semis (SMH),0.4157,0.0713
CUANTITATIVO 3Y,R² vs Semis (SMH),0.602,0.569
CUANTITATIVO 3Y,Correlación MU-AMD (par),0.568,0.568
CUANTITATIVO 3Y,Z-score ratio MU/AMD (12M),0.96,0.96
CUANTITATIVO 3Y,Percentil ratio MU/AMD (12M),80.2,80.2
FUNDAMENTAL,P/E trailing,20.98,121.17
FUNDAMENTAL,P/E forward,5.99,30.75
FUNDAMENTAL,PEG (trailing),0.14,0.98
FUNDAMENTAL,P/S,11.39,18.82
FUNDAMENTAL,P/B,10.41,11.56
FUNDAMENTAL,EV/EBITDA,14.78,77.05
FUNDAMENTAL,Dividend yield (%),6.0,
FUNDAMENTAL,P/E aprox. actual (precio/EPS TTM),20.99,121.19
FUNDAMENTAL,Percentil P/E histórico 3y (%),94.7,93.1
FUNDAMENTAL,Margen bruto,0.3979,0.4952
FUNDAMENTAL,Margen operativo,0.271,0.1233
FUNDAMENTAL,Margen neto,0.2284,0.1251
FUNDAMENTAL,ROE,0.1576,0.0688
FUNDAMENTAL,ROA,0.1031,0.0564
FUNDAMENTAL,ROE DuPont,0.1576,0.0688
FUNDAMENTAL,Deuda/Patrimonio,0.282,0.061
FUNDAMENTAL,Deuda/EBITDA,0.83,0.53
FUNDAMENTAL,Liquidez corriente,2.52,2.85
FUNDAMENTAL,Prueba ácida,1.79,2.01
FUNDAMENTAL,FCF (B USD),1.67,6.74
FUNDAMENTAL,FCF/Ingresos,0.045,0.194
FUNDAMENTAL,Crecimiento ingresos YoY,3.457,0.501
FUNDAMENTAL,Altman Z,42.31,121.94
FUNDAMENTAL,Zona Altman,SEGURA,SEGURA
FUNDAMENTAL,Target price analistas (USD),1515.11,613.09
FUNDAMENTAL,Upside a target (%),63.2,28.7
TECNICO,SMA20 (USD),902.16,480.29
TECNICO,SMA50 (USD),961.78,508.89
TECNICO,SMA200 (USD),577.87,332.0
TECNICO,Tendencia (vs SMA200),ALCISTA,ALCISTA
TECNICO,Cruce SMA50/200,GOLDEN CROSS,GOLDEN CROSS
TECNICO,RSI14,50.4,47.4
TECNICO,RSI zona,NEUTRAL,NEUTRAL
TECNICO,MACD línea,7.569,-8.717
TECNICO,MACD señal,2.528,-7.616
TECNICO,MACD histograma,5.041,-1.101
TECNICO,Bollinger %B (0-1),0.61,0.45
TECNICO,ATR14 (USD),65.38,27.53
TECNICO,ATR14 (% precio),7.04,5.78
TECNICO,ADX14,11.6,10.3
TECNICO,Régimen ADX,SIN TENDENCIA,SIN TENDENCIA
TECNICO,Posición rango 52s (%),74.0,75.7
TECNICO,Distancia a máximo 52s (%),-23.5,-18.0
TECNICO,Momentum 1M (%),13.2,4.8
TECNICO,Momentum 3M (%),0.0,-3.9
TECNICO,Momentum 6M (%),116.6,125.9
TECNICO,Momentum 12M (%),698.9,191.6
TECNICO,Volumen relativo (vs 20d),0.23,0.29
NOTICIAS,Noticias analizadas,10,10
NOTICIAS,Score neto sentimiento,3,3
NOTICIAS,Bullish,4,4
NOTICIAS,Bearish,1,1
NOTICIAS,Neutrales,5,5
